City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
158,la passe,45.5549,-0.8967,280.38,79,19,4.97,FR,1704542168
159,ponta delgada,37.7333,-25.6667,291.59,72,20,4.12,PT,1704542169
160,hadibu,12.65,54.0333,298.37,54,92,5.59,YE,1704542171
161,al ghayzah,16.2079,52.176,300.82,39,76,4.52,YE,1704542172
162,tukrah,32.5341,20.5791,294.0,33,0,14.2,LY,1704542174
163,xinyu,27.8043,114.9334,286.84,60,18,2.3,CN,1704542175
164,lower hutt,-41.2167,174.9167,287.1,89,6,3.09,NZ,1704542176
165,charters towers,-20.1,146.2667,299.24,69,10,7.47,AU,1704542177
166,castillos,-34.1667,-53.8333,297.09,66,53,4.77,UY,1704542178
167,brezina,33.0989,1.2608,283.09,39,81,11.01,DZ,1704542179
168,kavalerovo,44.2661,135.0572,260.68,84,82,3.13,RU,1704542180
169,wanning,18.8003,110.3967,294.35,79,63,3.67,CN,1704542182
170,tarakan,3.3,117.6333,300.87,100,75,1.54,ID,1704542183
171,champoton,19.35,-90.7167,294.73,96,7,1.99,MX,1704542187
172,el bauga,18.262,33.9081,302.19,25,30,2.14,SD,1704542190
173,darab,28.7519,54.5444,289.15,22,0,2.2,IR,1704542191
174,tagiura,32.8817,13.3506,289.49,46,12,15.26,LY,1704542195
175,valparaiso,-33.0393,-71.6273,292.86,73,100,2.06,CL,1704542197
176,grand baie,-20.0182,57.5802,303.96,77,99,0.89,MU,1704542198
177,likiep,9.8251,169.3107,300.17,68,95,8.24,MH,1704542199
178,papatowai,-46.5619,169.4708,285.25,87,75,2.66,NZ,1704542200
179,viedma,-40.8135,-62.9967,297.42,47,12,6.28,AR,1704542201
180,san agustin de valle fertil,-30.6335,-67.4682,297.97,57,0,2.12,AR,1704542201
181,queenstown,-31.8976,26.8753,308.86,14,13,10.13,ZA,1704542205
182,kyzylorda,44.8528,65.5092,281.16,66,0,4.0,KZ,1704542206
183,cascais,38.6979,-9.4215,288.24,80,20,2.68,PT,1704542159
184,susuman,62.7833,148.1667,230.36,100,99,0.45,RU,1704542215
185,gadzhiyevo,69.2551,33.3362,253.71,99,97,4.78,RU,1704542218
186,ancud,-41.8697,-73.8203,286.11,93,93,2.07,CL,1704542220
187,prainha,-1.8,-53.48,296.45,99,100,0.12,BR,1704542222
188,jamestown,42.097,-79.2353,269.1,92,100,1.34,US,1704542222
189,tulagi,-9.0996,160.1476,300.41,77,100,1.35,SB,1704542223
